input,column,parent,selection_strength,conc_factor,parent_expression,fraction_collected,matching_sequences,cells_collected
trpseqsonly,counts0,,,,,,,
trpseqsonly,counts1,0,1,3,,,0.78,13833665
trpseqsonly,counts2,0,2,3,,,0.44,13152473
trpseqsonly,counts3,0,2,3,,,0.42,9432594
trpseqsonly,counts4,0,3,3,,,0.266,10251968
trpseqsonly,counts5,2,3,3,0.242,0.1437,0.27580016,11712038
trpseqsonly,counts6,0,3,3,,,0.129,1731745
trpseqsonly,counts7,0,3,3,,,0.261570175,3303114
trpseqsonly,counts8,3,4,3,0.248,0.123386419,0.182773296,12444449
trpseqsonly,counts9,2,4,3,0.242,0.075209988,0.199507935,10058664
trpseqsonly,counts10,3,5,3,0.248,0.009719801,0.070329816,10579641